seg_model,seg_nd,cluster_num,mode,threshold,pore_precision,pore_recall,pore_f1,gypsum_precision,gypsum_recall,gypsum_f1,celestite_precision,celestite_recall,celestite_f1,bassanite_precision,bassanite_recall,bassanite_f1,macro_f1_4,macro_f1_3
gmm,3d,16,1,0.5,0.491858621778748,0.7266920535967708,0.5860765022552193,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6664889919271549,0.7330014845940964,0.6980832946751201,0.7022310036816632,0.7429553780307036
gmm,3d,16,2,0.6,0.491858621778748,0.7266920535967708,0.5860765022552193,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6664889919271549,0.7330014845940964,0.6980832946751201,0.7022310036816632,0.7429553780307036
gmm,3d,16,2,0.7,0.491858621778748,0.7266920535967708,0.5860765022552193,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6664889919271549,0.7330014845940964,0.6980832946751201,0.7022310036816632,0.7429553780307036
gmm,3d,16,2,0.8,0.491858621778748,0.7266920535967708,0.5860765022552193,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6664889919271549,0.7330014845940964,0.6980832946751201,0.7022310036816632,0.7429553780307036
gmm,3d,16,2,0.9,0.491858621778748,0.7266920535967708,0.5860765022552193,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6664889919271549,0.7330014845940964,0.6980832946751201,0.7022310036816632,0.7429553780307036
gmm,3d,16,3,1,0.491858621778748,0.7266920535967708,0.5860765022552193,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6664889919271549,0.7330014845940964,0.6980832946751201,0.7022310036816632,0.7429553780307036
gmm,3d,16,4,0,0.5724248645291775,0.5768970650395132,0.572956740690627,0.967096765707525,0.9233396570314719,0.9447063371617714,0.5190333330654081,0.6744402199657831,0.5800578806345419,0.6308732488954583,0.8046328950174549,0.7071091653503774,0.7012075309593294,0.7415907477342587
gmm,3d,32,1,0.5,0.5550583463526034,0.6728936454178687,0.6078317052778028,0.9438557305295515,0.9513999111107209,0.9476099510941848,0.527880240213218,0.6532548161719232,0.5801067929146054,0.7543843807611506,0.7148707271835508,0.734053858363297,0.7174005769124726,0.7631651715784282
gmm,3d,32,2,0.6,0.5012202621167512,0.7499325129088423,0.600605738266667,0.9528391310354104,0.9390832181381872,0.9459074124093868,0.527880240213218,0.6532548161719232,0.5801067929146054,0.7543843807611506,0.7148707271835508,0.734053858363297,0.7151684504884892,0.7601890030131169
gmm,3d,32,2,0.7,0.5012202621167512,0.7499325129088423,0.600605738266667,0.9636477263838992,0.9189350885534814,0.9407550817823837,0.527880240213218,0.6532548161719232,0.5801067929146054,0.6855673350820505,0.753877778031342,0.7180735930989864,0.7098853015156608,0.753144804382679
